,MEMBER_NO,clusters
354,29309,2.0
355,13084,2.0
356,24151,2.0
357,33114,2.0
358,1816,2.0
359,45720,2.0
360,21127,5.0
361,27683,2.0
362,5902,2.0
363,3012,2.0
364,30596,5.0
365,29277,2.0
366,13108,5.0
367,61975,2.0
368,14993,2.0
369,57696,2.0
370,54913,2.0
371,8870,5.0
372,37041,2.0
373,57507,2.0
374,56362,2.0
375,48257,2.0
376,48173,5.0
377,29181,2.0
378,26942,2.0
379,10967,5.0
380,40676,2.0
381,29224,2.0
382,38275,2.0
383,59483,2.0
384,1843,2.0
385,18817,2.0
386,6031,5.0
387,18830,2.0
388,38123,5.0
389,57758,2.0
390,2427,5.0
391,1231,2.0
392,45721,2.0
393,18013,2.0
394,53417,5.0
395,56776,2.0
396,47838,5.0
397,28345,2.0
398,8576,2.0
399,2561,2.0
400,50183,5.0
401,3003,2.0
402,56144,2.0
403,22702,2.0
404,44761,2.0
405,3210,2.0
406,2110,5.0
407,20760,2.0
408,29081,2.0
409,49340,2.0
410,55325,2.0
411,11000,2.0
412,40664,2.0
413,32414,2.0
414,55873,2.0
415,8851,5.0
416,23223,2.0
417,14870,2.0
418,26803,2.0
419,29103,5.0
420,13204,5.0
421,53801,2.0
422,17530,2.0
423,11110,2.0
424,2352,2.0
425,21650,5.0
426,8497,2.0
427,13067,2.0
428,44923,2.0
429,48328,5.0
430,6905,5.0
431,20962,5.0
432,35328,2.0
433,35276,5.0
434,15247,2.0
435,26447,5.0
436,39736,2.0
437,47894,5.0
438,4868,2.0
439,44090,5.0
440,24598,2.0
441,29324,2.0
442,25763,2.0
443,56156,2.0
444,28175,1.0
445,13295,2.0
446,4175,5.0
447,17306,2.0
448,22092,2.0
449,19379,2.0
450,25883,2.0
451,53513,5.0
452,56202,5.0
453,8925,5.0
454,56861,2.0
455,3501,2.0
456,7660,2.0
457,26796,2.0
458,59631,2.0
459,55240,2.0
460,47657,2.0
461,12656,2.0
462,34530,2.0
463,49855,2.0
464,56163,5.0
465,30116,2.0
466,2015,5.0
467,37142,2.0
468,26580,2.0
469,10105,2.0
470,45796,2.0
471,30865,2.0
472,59678,2.0
473,915,2.0
474,30355,2.0
475,1260,2.0
476,29550,2.0
477,53079,2.0
478,57868,2.0
479,62499,2.0
480,19538,2.0
481,3893,2.0
482,55820,2.0
483,33829,2.0
484,41140,5.0
485,41700,5.0
486,55140,2.0
487,21169,2.0
488,18371,2.0
489,10111,2.0
490,22929,2.0
491,59441,2.0
492,12479,2.0
493,39109,2.0
494,29044,2.0
495,15284,2.0
496,2047,2.0
497,2051,2.0
498,35700,2.0
499,53997,2.0
500,56624,2.0
501,29198,2.0
502,9658,5.0
503,14574,2.0
504,60068,2.0
505,3881,2.0
506,27827,2.0
507,10329,2.0
508,999,2.0
509,2115,2.0
510,47309,2.0
511,20305,2.0
512,62894,5.0
513,40362,2.0
514,29121,2.0
515,52991,2.0
516,26669,2.0
517,44965,2.0
518,56097,5.0
519,40749,2.0
520,11607,2.0
521,4317,2.0
522,19249,2.0
523,47093,2.0
524,13888,2.0
525,20402,2.0
526,5910,2.0
527,30564,2.0
528,30096,2.0
529,20157,2.0
530,30771,2.0
531,31028,2.0
532,31495,2.0
533,14282,3.0
534,14969,2.0
535,9594,2.0
536,21740,2.0
537,59729,2.0
538,46647,2.0
539,57726,2.0
540,11321,2.0
541,59560,2.0
542,56492,2.0
543,18022,2.0
544,11183,5.0
545,11243,2.0
546,11191,2.0
